,Id,Tag,Q_Score,Title,Q_Body,A_Body,A_Score
127,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Knowing grep and ruby made it possible to narrow down a problem, and verify the fix for, an issue involving tons of java exceptions on some production servers. Because I threw the solution together in ruby, it was done (designed, implemented, tested, run, bug-fixed, re-run, enhanced, results analyzed) in an afternoon instead of a couple of days. I could have solved the same problem using an all-java solution or a C# solution, but it most likely would have taken me longer.</p>

<p>Having dynamic language expertise also sometimes leads you to simpler solutions in less dynamic languages. In ruby, perl or python, you just intuitively reach for associative arrays (hashes, dictionaries, whatever word you want to use) for the smallest things, where you might be tempted to create a complex class hierarchy in a statically typed language when the problem doesn't necessarily demand it.</p>

<p>Plus you can plug in most scripting languages into most runtimes. So it doesn't have to be either/or.</p>
",0
128,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Learning a new language is a long-term process. In a couple of days you'll learn the basics, yes. But! As you probably know, the real practical applicability of any language is tied to the standard library and other available components. Learning how to use the efficiently requires a lot of hands-on experience. </p>

<p>Perhaps the only immediate short-term benefit is that developers learn to distinguish the nails that need a Python/Perl/Ruby -hammer. And, if they are any good, they can then study some more (online, perhaps!) and become real experts.</p>

<p>The long-term benefits are easier to imagine:</p>

<ol>
<li><p>The employee becomes a better developer. Better developer => better quality. We are living in a knowledge economy these days. It's wiser to invest in those brains that already work for you.</p></li>
<li><p>It is easier to adapt when the next big language emerges. It is very likely that the NBL will have many of the features present in today's scripting languages: first-class functions, closures, streams/generators, etc. </p></li>
<li><p>New market possibilities and ability to respond more quickly. Even if you are not writing Python, <em>other people are</em>. Your clients? Another vendor in the project? Perhaps a critical component was written in some other language? It will cost money and time, if you do not have people who can understand the code and interface with it.</p></li>
<li><p>Recruitment. If your company has a reputation of teaching new and interesting stuff to people, it will be easier to recruit the top people. <em>Everyone</em> is doing Java/C#/C++. It is not a very effective way to differentiate yourself in the job market.</p></li>
</ol>
",2
129,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>The ""real benefit"" that an employer could see is a better programmer who can implement solutions faster; however, you will not be able to provide any hard numbers to justify the expense and an employer will most likely have you work on what makes money now as opposed to having you work on things that make the future better. </p>

<p>The only time you can get training on the employer's dime, is when they perceive a need for it and it's cheaper than hiring a new person who already has that skill-set.</p>
",0
130,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Testing.</p>

<p>It's often quicker and easier to test your C#/Java application by using a dynamic language. You can do exploratory testing at the interactive prompt and quickly create automated test scripts.</p>
",0
131,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>I think the main benefits of dynamic languages can be boiled down to</p>

<ol>
<li>Rapid development</li>
<li>Glue</li>
</ol>

<p>The short design-code-test cycle time makes dynamic languages ideal for prototyping, tools, and quick &amp; dirty one-off scripts. IMHO, the latter two can make a huge impact on a programmer's productivity. It amazes me how many people trudge through things manually instead of whipping up a tool to do it for them. I think it's because they don't have something like Perl in their toolbox.</p>

<p>The ability to interface with just about anything (other programs or languages, databases, etc.) makes it easy to reuse existing work and automate tasks that would otherwise need to be done manually.</p>
",1
132,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Others have already explained why learning more languages makes you a better programmer.</p>

<p>As for convincing your boss it's worth it, this is probably just your company's culture.  Some places make career and skill progress a policy (move up or out), some places value it but leave it up to the employee's initiative, and some places are very focused on the bottom line.</p>

<p>If you have to explain why learning a language is a good thing to your boss, my advice would be to stay at work only as long as necessary, then go home and study new things on your own.</p>
",0
133,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Towards answering the updated question, its a chicken/egg problem.  The best way to justify an expense is to show how it reduces a cost somewhere else, so you may need to spend some extra/personal time to learn something first to build some kind of functional prototype.</p>

<p>Show your boss a demo like ""hey, i did this thing, and it saves me this much time [or better yet, this much $$], imagine if everyone could use this how much money we would save""</p>

<p>and then after they agree, explain how it is some other technology and that it is worth the expense to get more training, and training for others on how to do it better.</p>
",2
134,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>For after work work, for freelance jobs...:) and final to be programming literate as possible as...;) </p>
",0
135,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>I don't think anyone has mentioned this yet. Learning a new language can be fun! Surely that's a good enough reason to try something new. </p>
",14
136,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Dynamic languages are a different way to think and sometimes the practices you learn from a dynamic or functional language can transfer to the more statically typed languages but if you never take the time to learn different languages, you'll never get the benefit of having a knew way to think when you are coding.</p>
",0
137,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Given the increasing focus to running dynamic languages (da-vinci vm etc.) on the JVM and the increasing number of dynamic languages that do run on it (JRuby, Grrovy, Jython) I think the usecases are just increasing. Some of the scenarios I found really benifited are</p>

<ol>
<li><p><strong>Prototyping</strong>- use RoR or Grails to build quick prototypes with advantage of being able to runn it on the standard app server and (maybe) reuse existing services etc.</p></li>
<li><p><strong>Testing</strong>- right unit tests much much faster in dynamic languages</p></li>
<li><p><strong>Performance/automation test scripting</strong>- some of these tools are starting to allow the use standard dynamic language of choice to write the test scripts instead of proprietary script languages. Side benefit might be to the able to reuse some unit test code you've already written.</p></li>
</ol>
",1
138,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p><em>A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.
- Wayne Gretzky</em></p>

<p>Our industry is always changing. No language can be mainstream forever. To me Java, C++, .Net is where the puck is right now. And python, ruby, perl is where the puck is going to be. Decide for yourself if you wanna be good or great!</p>
",4
139,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Don't tell your employer that you want to learn Ruby. Tell him you want to learn about the state-of-the-art in web framework technologies. it just happens that the hottest ones are Django and Ruby on Rails.</p>
",1
141,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Don't bother your employer, spend ~$40 on a book, download some software, and devote some time each day to read/do exercises. In no time you'll be trained :)</p>
",0
117,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>It's all about broadening your horizons as a developer. If you limit yourself to only strong-typed languages, you may not end up the best programmer you could.</p>

<p>As for tasks, Python/Lua/Ruby/Perl are great for small simple tasks, like finding some files and renaming them. They also work great when paired with a framework (e.g. Rails, Django, Lua for Windows) for developing simple apps quickly. Hell, 37Signals is based on creating simple yet very useful apps in Ruby on Rails. </p>
",1
118,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>They're useful for the ""Quick Hack"" that is for plugging a gap in your main language for a quick (and potentially dirty) fix faster than it would take to develop the same in your main language. An example: a simple script in perl to go through a large text file and replace all instances of an email address with another is trivial with an amount of time taken in the 10 minute range. Hacking a console app together to do the same in your main language would take multiples of that.</p>

<p>You also have the benefit that exposing yourself to additional languages broadens your abilities and learning to attack problems from a different languages perspective can be as valuable as the language itself.</p>

<p>Finally, scripting languages are very useful in the realm of extension. Take LUA as an example. You can bolt a lua interpreter into your app with very little overhead and you now have a way to create rich scripting functionality that can be exposed to end users or altered and distributed quickly without requiring a rebuild of the entire app. This is used to great effect in many games most notably World of Warcraft.</p>
",1
111,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Philosophical issues aside, I know that I have gotten value from writing quick-and-dirty Ruby scripts to solve brute-force problems that Java was just too big for.  Last year I had three separate directory structures that were all more-or-less the same, but with lots of differences among the files (the client hadn't heard of version control and I'll leave the rest to your imagination).  </p>

<p>It would have taken a great deal of overhead to write an analyzer in Java, but in Ruby I had one working in about 40 minutes.</p>
",0
116,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>I primarily program in Java and C# but use dynamic languages (ruby/perl) to support smoother deployment, kicking off OS tasks, automated reporting, some log parsing, etc.</p>

<p>After a short time learning and experimenting with ruby or perl you should be able to write some regex manipulating scripts that can alter data formats or grab information from logs.   An example of a small ruby/perl script that could be written quickly would be a script to parse a very large log file and report out only a few events of interest in either a human readable format or a csv format. </p>

<p>Also, having experience with a variety of different programming languages should help you think of new ways to tackle problems in more structured languages like Java, C++, and C#.</p>
",9
114,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>check out the answers to this thead: </p>

<p><a href=""http://stackoverflow.com/questions/76364/what-is-the-single-most-effective-thing-you-did-to-improve-your-programming-ski#84112"">http://stackoverflow.com/questions/76364/what-is-the-single-most-effective-thing-you-did-to-improve-your-programming-ski#84112</a></p>

<p>Learning new languages is about keeping an open mind and learning new ways of doing things.</p>
",1
113,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>When I first learned Python, I worked for a Java shop.  Occasionally I'd have to do serious text-processing tasks which were much easier to do with quick Python scripts than Java programs.  For example, if I had to parse a complex CSV file and figure out which of its rows corresponded to rows in our Oracle database, this was much easier to do with Python than Java.</p>

<p>More than that, I found that learning Python made me a much better Java programmer; having learned many of the same concepts in another language I feel that I understand those concepts much better.  And as for what makes Python easier than Java, you might check out this question: <a href=""http://stackoverflow.com/questions/49824/java-python"">http://stackoverflow.com/questions/49824/java-python</a></p>
",4
112,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Often, dynamc languages (especially python and lua) are embedded in programs to add a more plugin-like functionality and because they are high-level languages that make it easy to add certain behavior, where a low/mid-level language is not needed.</p>

<p>Lua specificially lacks all the low-level system calls because it was designed for easeof-use to add functionality within the program, not as a general programming language.</p>
",0
110,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>I have often found that learning another language, especially a dynamically typed language, can teach you things about other languages and make you an overall better programmer.  Learning ruby, for example, will teach you Object Oriented programming in ways Java wont, and vice versa.  All in all, I believe that it is better to be a well rounded programmer than stuck in a single language.  It makes you more valuable to the companies/clients you work for.</p>
",1
109,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Let me turn your question on its head by asking what use it is to an American English speaker to learn another language?</p>

<p>The languages we speak (and those we program in) inform the way we think. This can happen on a fundamental level, such as c++ versus javascript versus lisp, or on an implementation level, in which a ruby construct provides a eureka moment for a solution in your ""real job.""</p>

<p>Speaking of your real job, if the market goes south and your employer decides to ""right size"" you, how do you think you'll stack up against a guy who is flexible because he's written software in tens of languages, instead of your limited exposure? All things being equal, I think the answer is clear.</p>

<p>Finally, you program for a living because you love programming... right?</p>
",21
108,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Do you expect to work for this company forever?  If you're ever out on the job market, pehaps some prospective employers will be aware of the <a href=""http://www.paulgraham.com/pypar.html"">Python paradox</a>.</p>
",5
115,84340,python,62,"Why learn Perl, Python, Ruby if the company is using C++, C# or Java as the application language?","<p>I wonder why would a C++, C#, Java developer want to learn a dynamic language?</p>

<p>Assuming the company won't switch its main development language from C++/C#/Java to a dynamic one what use is there for a dynamic language?</p>

<p>What helper tasks can be done by the dynamic languages faster or better after only a few days of learning than with the static language that you have been using for several years?</p>

<h2>Update</h2>

<p>After seeing the first few responses it is clear that there are two issues.
My main interest would be something that is justifiable to the employer as an expense.
That is, I am looking for justifications for the employer to finance the learning of a dynamic language. Aside from the obvious that the employee will have broader view, the
employers are usually looking for some ""real"" benefit.</p>
","<p>Im not sure if this is what you are looking for, but we write our main application with Java at the small company I work for, but have used python to write smaller scripts quickly.  Backup software, temporary scripts to manipulate data and push out results.  It just seems easier sometimes to sit down with python and write a quick script than mess with classes and stuff in java.  </p>

<p>Temp scripts that aren't going to stick around don't need a lot of design time wasted on them.</p>

<p>And I am lazy, but it is good to just learn as much as you can of course and see what features exist in other languages.  Knowing more never hurts you in future career changes :)</p>
",1
223,118260,python,43,How to start IDLE (Python editor) without using the shortcut on Windows Vista?,"<p>I'm trying to teach Komodo to fire up <a href=""http://en.wikipedia.org/wiki/IDLE%5F%28Python%29"">IDLE</a> when I hit the right keystrokes.  I can use the exact path of the shortcut in start menu in the Windows Explorer location bar to launch IDLE so I was hoping Komodo would be able to use it as well.  But, giving this path to Komodo causes it to say that 1 is returned.  This appears to be a failure as IDLE doesn't start up.</p>

<p>I thought I'd avoid the shortcut and just use the exact path.  I go to the start menu, find the shortcut for IDLE, right click to look at the properties.  The target is grayed out, but says ""Python 2.5.2"".  The ""Start in"" is set to, ""C:\Python25\"".  The ""Open File Location"" button is also grayed out.</p>

<p>How do I find out where this shortcut is really pointing?  I have tried starting python.exe and pythonw.exe both in C:\Python25, but neither starts up IDLE.</p>
","<p>There's a file called idle.py in your Python installation directory in Lib\idlelib\idle.py</p>

<p>If you run that file with Python, then IDLE should start.</p>

<blockquote>
  <p>c:\Python25\pythonw.exe c:\Python25\Lib\idlelib\idle.py</p>
</blockquote>
",53
224,118260,python,43,How to start IDLE (Python editor) without using the shortcut on Windows Vista?,"<p>I'm trying to teach Komodo to fire up <a href=""http://en.wikipedia.org/wiki/IDLE%5F%28Python%29"">IDLE</a> when I hit the right keystrokes.  I can use the exact path of the shortcut in start menu in the Windows Explorer location bar to launch IDLE so I was hoping Komodo would be able to use it as well.  But, giving this path to Komodo causes it to say that 1 is returned.  This appears to be a failure as IDLE doesn't start up.</p>

<p>I thought I'd avoid the shortcut and just use the exact path.  I go to the start menu, find the shortcut for IDLE, right click to look at the properties.  The target is grayed out, but says ""Python 2.5.2"".  The ""Start in"" is set to, ""C:\Python25\"".  The ""Open File Location"" button is also grayed out.</p>

<p>How do I find out where this shortcut is really pointing?  I have tried starting python.exe and pythonw.exe both in C:\Python25, but neither starts up IDLE.</p>
","<p>Here's another path you can use.  I'm not sure if this is part of the standard distribution or if the file is automatically created on first use of the IDLE.</p>

<pre><code>C:\Python25\Lib\idlelib\idle.pyw
</code></pre>
",8
272,156230,python,41,Python Dependency Injection Framework,"<p>Is there a framework equivalent to Guice (<a href=""http://code.google.com/p/google-guice"">http://code.google.com/p/google-guice</a>) for Python?</p>
","<p>Besides that:</p>

<ol>
<li><a href=""http://wiki.zope.org/zope3/ComponentArchitectureApproach"">Zope component architekture</a></li>
<li><a href=""http://pypi.python.org/pypi/PyContainer"">pyContainer</a></li>
</ol>
",5
271,156230,python,41,Python Dependency Injection Framework,"<p>Is there a framework equivalent to Guice (<a href=""http://code.google.com/p/google-guice"">http://code.google.com/p/google-guice</a>) for Python?</p>
","<p>I haven't used it, but the <a href=""http://springpython.webfactional.com/"">Spring Python</a> framework is based on Spring and implements <a href=""http://static.springsource.org/spring-python/1.2.x/sphinx/html/objects.html"">Inversion of Control</a>.</p>

<p>There also appears to be a Guice in Python project: <a href=""http://code.google.com/p/snake-guice/"">snake-guice</a></p>
",12
